question,option_1,option_2,option_3,option_4,correct_answer,niveau
Qui était le chef des nazis pendant la Seconde Guerre mondiale ?,Benito Mussolini,Joseph Staline,Winston Churchill,Adolf Hitler,Adolf Hitler,5
Quelle civilisation a construit les pyramides ?,Grecque,Romaine,Égyptienne,Maya,Égyptienne,5
Qui a été le premier président de la République française ?,Jacques Chirac,Charles de Gaulle,Napoléon Bonaparte,Louis-Napoléon Bonaparte,Louis-Napoléon Bonaparte,5
Quelle civilisation a construit les pyramides ?,Grecque,Maya,Romaine,Égyptienne,Égyptienne,4
Qui était le chef des nazis pendant la Seconde Guerre mondiale ?,Adolf Hitler,Winston Churchill,Benito Mussolini,Joseph Staline,Adolf Hitler,5
"Quel mur est tombé en 1989, marquant la fin de la Guerre froide ?",Mur de Berlin,Mur de Vienne,Mur de Varsovie,Mur de Moscou,Mur de Berlin,5
En quelle année a eu lieu la Révolution française ?,1804,1789,1776,1792,1789,5
Qui a été le premier président de la République française ?,Louis-Napoléon Bonaparte,Charles de Gaulle,Napoléon Bonaparte,Jacques Chirac,Louis-Napoléon Bonaparte,3
Qui était le chef des nazis pendant la Seconde Guerre mondiale ?,Adolf Hitler,Joseph Staline,Benito Mussolini,Winston Churchill,Adolf Hitler,6
Qui a été le premier président de la République française ?,Jacques Chirac,Louis-Napoléon Bonaparte,Napoléon Bonaparte,Charles de Gaulle,Louis-Napoléon Bonaparte,3
En quelle année a eu lieu la Révolution française ?,1804,1792,1776,1789,1789,6
Quel pays a colonisé le Cameroun après l'Allemagne ?,Espagne,Portugal,France,Belgique,France,2
Qui était le chef des nazis pendant la Seconde Guerre mondiale ?,Adolf Hitler,Joseph Staline,Winston Churchill,Benito Mussolini,Adolf Hitler,3
Qui a découvert l'Amérique en 1492 ?,Fernand de Magellan,Amerigo Vespucci,Vasco de Gama,Christophe Colomb,Christophe Colomb,6
Qui a découvert l'Amérique en 1492 ?,Fernand de Magellan,Vasco de Gama,Christophe Colomb,Amerigo Vespucci,Christophe Colomb,3
En quelle année a eu lieu la Révolution française ?,1789,1804,1792,1776,1789,3
Quel pays a colonisé le Cameroun après l'Allemagne ?,Belgique,France,Portugal,Espagne,France,5
Qui a été le premier président de la République française ?,Charles de Gaulle,Louis-Napoléon Bonaparte,Jacques Chirac,Napoléon Bonaparte,Louis-Napoléon Bonaparte,4
Qui a été le premier président de la République française ?,Napoléon Bonaparte,Louis-Napoléon Bonaparte,Charles de Gaulle,Jacques Chirac,Louis-Napoléon Bonaparte,5
Qui était le chef des nazis pendant la Seconde Guerre mondiale ?,Adolf Hitler,Joseph Staline,Winston Churchill,Benito Mussolini,Adolf Hitler,4
Comment s'appelait la guerre entre le Nord et le Sud des États-Unis ?,Guerre de Sécession,Guerre de Cent Ans,Guerre civile anglaise,Guerre froide,Guerre de Sécession,5
Quelle civilisation a construit les pyramides ?,Maya,Grecque,Romaine,Égyptienne,Égyptienne,4
Quel pays a colonisé le Cameroun après l'Allemagne ?,France,Espagne,Portugal,Belgique,France,5
"Quel mur est tombé en 1989, marquant la fin de la Guerre froide ?",Mur de Vienne,Mur de Varsovie,Mur de Berlin,Mur de Moscou,Mur de Berlin,3
Comment s'appelait la guerre entre le Nord et le Sud des États-Unis ?,Guerre de Cent Ans,Guerre de Sécession,Guerre civile anglaise,Guerre froide,Guerre de Sécession,3
Qui était le chef des nazis pendant la Seconde Guerre mondiale ?,Adolf Hitler,Joseph Staline,Winston Churchill,Benito Mussolini,Adolf Hitler,2
Quelle civilisation a construit les pyramides ?,Maya,Égyptienne,Grecque,Romaine,Égyptienne,2
Comment s'appelait la guerre entre le Nord et le Sud des États-Unis ?,Guerre froide,Guerre civile anglaise,Guerre de Cent Ans,Guerre de Sécession,Guerre de Sécession,7
Quel pays a colonisé le Cameroun après l'Allemagne ?,Belgique,Espagne,Portugal,France,France,7
En quelle année a eu lieu la Révolution française ?,1792,1804,1789,1776,1789,7
Comment s'appelait la guerre entre le Nord et le Sud des États-Unis ?,Guerre de Sécession,Guerre froide,Guerre de Cent Ans,Guerre civile anglaise,Guerre de Sécession,3
Comment s'appelait la guerre entre le Nord et le Sud des États-Unis ?,Guerre civile anglaise,Guerre de Cent Ans,Guerre de Sécession,Guerre froide,Guerre de Sécession,5
Comment s'appelait la guerre entre le Nord et le Sud des États-Unis ?,Guerre civile anglaise,Guerre froide,Guerre de Cent Ans,Guerre de Sécession,Guerre de Sécession,5
Comment s'appelait la guerre entre le Nord et le Sud des États-Unis ?,Guerre de Sécession,Guerre de Cent Ans,Guerre froide,Guerre civile anglaise,Guerre de Sécession,5
Qui était le chef des nazis pendant la Seconde Guerre mondiale ?,Winston Churchill,Adolf Hitler,Joseph Staline,Benito Mussolini,Adolf Hitler,3
Quelle civilisation a construit les pyramides ?,Égyptienne,Grecque,Maya,Romaine,Égyptienne,3
Qui était le chef des nazis pendant la Seconde Guerre mondiale ?,Adolf Hitler,Joseph Staline,Winston Churchill,Benito Mussolini,Adolf Hitler,6
En quelle année a eu lieu la Révolution française ?,1776,1789,1804,1792,1789,5
Quel pays a colonisé le Cameroun après l'Allemagne ?,Portugal,Belgique,Espagne,France,France,5
Qui a été le premier président de la République française ?,Charles de Gaulle,Louis-Napoléon Bonaparte,Jacques Chirac,Napoléon Bonaparte,Louis-Napoléon Bonaparte,7
Qui était le chef des nazis pendant la Seconde Guerre mondiale ?,Winston Churchill,Joseph Staline,Benito Mussolini,Adolf Hitler,Adolf Hitler,2
En quelle année a eu lieu la Révolution française ?,1776,1789,1792,1804,1789,4
Qui a été le premier président de la République française ?,Louis-Napoléon Bonaparte,Jacques Chirac,Napoléon Bonaparte,Charles de Gaulle,Louis-Napoléon Bonaparte,7
Qui était le chef des nazis pendant la Seconde Guerre mondiale ?,Winston Churchill,Adolf Hitler,Benito Mussolini,Joseph Staline,Adolf Hitler,3
"Quel mur est tombé en 1989, marquant la fin de la Guerre froide ?",Mur de Moscou,Mur de Varsovie,Mur de Berlin,Mur de Vienne,Mur de Berlin,7
Qui était le chef des nazis pendant la Seconde Guerre mondiale ?,Joseph Staline,Winston Churchill,Benito Mussolini,Adolf Hitler,Adolf Hitler,2
En quelle année a eu lieu la Révolution française ?,1804,1789,1776,1792,1789,4
"Quel mur est tombé en 1989, marquant la fin de la Guerre froide ?",Mur de Berlin,Mur de Moscou,Mur de Varsovie,Mur de Vienne,Mur de Berlin,3
Qui a découvert l'Amérique en 1492 ?,Christophe Colomb,Amerigo Vespucci,Fernand de Magellan,Vasco de Gama,Christophe Colomb,4
Qui était le chef des nazis pendant la Seconde Guerre mondiale ?,Adolf Hitler,Benito Mussolini,Winston Churchill,Joseph Staline,Adolf Hitler,3
Comment s'appelait la guerre entre le Nord et le Sud des États-Unis ?,Guerre de Sécession,Guerre de Cent Ans,Guerre froide,Guerre civile anglaise,Guerre de Sécession,6
Quelle civilisation a construit les pyramides ?,Égyptienne,Maya,Grecque,Romaine,Égyptienne,5
Quelle civilisation a construit les pyramides ?,Égyptienne,Grecque,Romaine,Maya,Égyptienne,7
Qui a été le premier président de la République française ?,Napoléon Bonaparte,Jacques Chirac,Charles de Gaulle,Louis-Napoléon Bonaparte,Louis-Napoléon Bonaparte,4
Quelle civilisation a construit les pyramides ?,Égyptienne,Romaine,Grecque,Maya,Égyptienne,4
Quelle civilisation a construit les pyramides ?,Romaine,Grecque,Égyptienne,Maya,Égyptienne,1
Qui était le chef des nazis pendant la Seconde Guerre mondiale ?,Joseph Staline,Winston Churchill,Adolf Hitler,Benito Mussolini,Adolf Hitler,7
"Quel mur est tombé en 1989, marquant la fin de la Guerre froide ?",Mur de Varsovie,Mur de Moscou,Mur de Vienne,Mur de Berlin,Mur de Berlin,1
Qui a découvert l'Amérique en 1492 ?,Vasco de Gama,Christophe Colomb,Fernand de Magellan,Amerigo Vespucci,Christophe Colomb,7
En quelle année a eu lieu la Révolution française ?,1792,1804,1789,1776,1789,5
Qui a été le premier président de la République française ?,Napoléon Bonaparte,Louis-Napoléon Bonaparte,Charles de Gaulle,Jacques Chirac,Louis-Napoléon Bonaparte,6
Comment s'appelait la guerre entre le Nord et le Sud des États-Unis ?,Guerre froide,Guerre de Cent Ans,Guerre de Sécession,Guerre civile anglaise,Guerre de Sécession,5
Qui était le chef des nazis pendant la Seconde Guerre mondiale ?,Benito Mussolini,Adolf Hitler,Joseph Staline,Winston Churchill,Adolf Hitler,1
"Quel mur est tombé en 1989, marquant la fin de la Guerre froide ?",Mur de Vienne,Mur de Moscou,Mur de Varsovie,Mur de Berlin,Mur de Berlin,7
"Quel mur est tombé en 1989, marquant la fin de la Guerre froide ?",Mur de Moscou,Mur de Varsovie,Mur de Vienne,Mur de Berlin,Mur de Berlin,2
Qui a découvert l'Amérique en 1492 ?,Christophe Colomb,Vasco de Gama,Fernand de Magellan,Amerigo Vespucci,Christophe Colomb,3
Quelle civilisation a construit les pyramides ?,Grecque,Égyptienne,Maya,Romaine,Égyptienne,7
